name,sessile,area,unet,unetpp,segformer,mean_dice
cju7dizi82h2i0755doucgnt3,False,0.0754624085971833,0.6927113374496114,0.7608812301642558,0.942927068035354,0.7988398785497405
cju7dmlgf2ebw0871ieqas5fh,False,0.087118197194309,0.8530241812664142,0.8702409638536742,0.805804378814856,0.8430231746449816
cju7dsrtb2f8i085064kwugfk,False,0.0835939519255621,0.9671906361142124,0.9783639713068272,0.9633086946563985,0.9696211006924793
cju7ebe962hr409872ovibahw,False,0.4367287508341928,0.9780133229248203,0.9759330777467384,0.9734582062187751,0.9758015356301112
cju7emdni2py40871ivhxjtut,False,0.3543238167020222,0.9488872282183939,0.9339711057271605,0.9520837596339983,0.944980697859851
cju7epwj82koz098713apjnzo,False,0.0711962876351944,0.9010963332212313,0.8428685374504334,0.7673189920490358,0.8370946209069001
cju7et17a2vjk0755e743npl1,True,0.0405300237568608,0.9190221813389499,0.9373207415147348,0.8670869741515795,0.9078099656684214
cju7ev2b12owa08500bpfpwyw,False,0.1916095370988291,0.9529246550243062,0.9570084811095165,0.9615654260200963,0.9571661873846397
cju7evxt12m730987rxivne3x,False,0.3791221033868093,0.9476410749126125,0.8868682072925744,0.8409615555353586,0.8918236125801818
cju7f4sc62xqj075597xpmuoy,False,0.139698967940144,0.9849692216871311,0.9783986327969488,0.9759858814620922,0.979784578648724
cju7f5ghb2r5s0801chwkxxh9,False,0.2979037493913326,0.9813148655371985,0.9882529566593127,0.9746049520619307,0.981390924752814
cju7f6cqy2ur20818t1saazbm,True,0.1271313883134969,0.952687765915026,0.9174586865303992,0.9294967451708196,0.9332143992054149
cju7fcgbe2z3p07550vaflqdb,False,0.0951795496043822,0.9678543454963029,0.966293917041849,0.9727990362347069,0.9689824329242862
cju7frtqu2xa20818wq8r9fzf,False,0.177861139253215,0.9578691231416027,0.9398429102927327,0.9501942590521647,0.9493020974955
cju83ipu3jwpx0801z5pvguf8,False,0.0304037831496666,0.9606857818456956,0.9544878666750097,0.9377314035633133,0.9509683506946729
cju83nwu1jxte0987h1krpfmv,False,0.0941815497974918,0.955718124348111,0.960984984608114,0.9562867835443324,0.9576632975001859
cju83rcnzkbsj0755x5anfrcg,False,0.0919963779132021,0.9664333666601799,0.9657669871720467,0.97461340672695,0.9689379201863922
cju8432cmkgq90871cxe4iptl,False,0.3007320155882456,0.9905143555279216,0.9910452985381809,0.9862915038463664,0.9892837193041563
cju84hibuktj80871u519o71q,False,0.0628194919735714,0.9807195483662312,0.9838643544512099,0.9824073630195522,0.9823304219456643
