dataset,name,area,mean_dice,mean_det
etis-larib,154,0.0094012760383656,0.019476850793816284,0.2
etis-larib,156,0.0079562259686483,0.004473955352029494,0.0
etis-larib,157,0.0098508471711666,0.0005593704189488854,0.0
etis-larib,169,0.0061976591878987,0.7290132447751746,1.0
etis-larib,170,0.0054886550893649,0.6010759878887053,0.6
etis-larib,191,0.0010622385600202,0.0,0.0
etis-larib,192,0.0013385726961592,0.0,0.0
etis-larib,193,0.0011213926564414,0.0,0.0
etis-larib,194,0.0019656061182236,0.0,0.0
etis-larib,195,0.001131533358685,0.0,0.0
etis-larib,196,0.0013419529302404,0.0,0.0
etis-larib,2,0.0089398740862804,0.8598757916696791,1.0
etis-larib,23,0.0042033210799847,0.0,0.0
etis-larib,24,0.0039734651624625,0.001313112130008444,0.0
etis-larib,3,0.0082342502218278,0.6695377007511614,0.8
etis-larib,36,0.0094908522415177,0.0,0.0
etis-larib,4,0.0085249503528119,0.7977723799963972,1.0
etis-larib,5,0.0074086280474922,0.6545426871751057,0.8
etis-larib,53,0.0075429923522203,0.1632951484047451,0.4
etis-larib,57,0.0077770735623441,0.1961308356183616,0.4
etis-larib,58,0.007452571090548,0.6188084167238882,0.6
etis-larib,6,0.0086238221996873,0.774089197254854,0.8
etis-larib,60,0.0032340389571977,0.007813813891502071,0.0
etis-larib,69,0.0043292347995098,0.33715221046879545,0.4
etis-larib,7,0.0082528415092745,0.2905768022793412,0.4
etis-larib,70,0.0023526429205222,0.03933165806891345,0.0
etis-larib,71,0.0066615963155448,0.2925444934277552,0.4
etis-larib,72,0.0049731693919803,0.29993206580703247,0.2
etis-larib,73,0.00307263277982,0.29340892680730396,0.2
etis-larib,74,0.005779355220349,0.3126340305249721,0.4
etis-larib,75,0.0074153885156547,0.7920603475449944,1.0
etis-larib,76,0.0044728947479612,0.7344406202298136,0.8
etis-larib,77,0.003720792664892,0.3073963385221211,0.4
etis-larib,78,0.0025013732200954,0.2229118293223426,0.0
etis-larib,79,0.0030768580724215,0.19673406311088776,0.0
etis-larib,8,0.0090286052309122,0.3273662810288095,0.4
etis-larib,80,0.0099454937254404,0.8531020580105675,1.0
etis-larib,89,0.0033109392825453,0.5698671683919987,0.6
etis-larib,9,0.005787805805552,0.3487545731439013,0.2
etis-larib,90,0.0050264080787594,0.22334968967874586,0.0
etis-larib,93,0.0097502852072506,0.7388823714536248,1.0
etis-larib,94,0.0073291925465838,0.6872123037832282,0.6
etis-larib,95,0.0055723158828748,0.6916798906325742,1.0
etis-larib,96,0.005148096505683,0.6817256828037175,1.0
etis-larib,97,0.00650864072337,0.6895220548117601,0.6
etis-larib,98,0.0082917142012084,0.7220635473852849,1.0
